Subject Line A;Subject Line B;Target
Found a set of keys near the fountain downtown.;Found a set of keys near the fountain downtown. They...;B
I'm launching a neighborhood composting program;I’m launching a neighborhood composting program to reduce waste and...;B
"""The Annual 'Books on the Boulevard' Event""";"The annual ""Books on the Boulevard"" event is coming up....";A
Attention All Tech Enthusiasts;Attention all tech enthusiasts: We're starting a coding bootcamp for...;A
The Community Center's Annual Bake Sale;The community center's annual bake sale to support local homeless...;B
;Lost: Prescription glasses in a black case, possibly left on...;A
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;A
Is Anyone Interested In A Weekly Game Night?;Is anyone interested in a weekly game night? I was...;B
I'm offering lawn mowing services;I’m offering lawn mowing services this summer. I have my...;B
The local art club is holding an outdoor painting session;The local art club is holding an outdoor painting session...;B
The Neighborhood Council Forum;The neighborhood council is hosting a forum to discuss upcoming...;B
The local university extension is;The local university extension is offering a series of lectures...;B
The local symphony orchestra will;The local symphony orchestra will be giving a free concert...;B
Volunteers Needed for our Annual River Regatta;Volunteers needed for our annual river regatta next month. We...;A
The Community Center Will Be Closed This Monday For;Reminder: The community center will be closed this Monday for...;A
A local bakery is celebrating its 5th anniversary with;A local bakery is celebrating its 5th anniversary with free...;A
Attention Gardeners! The Annual Flower Show is Happening;Attention gardeners! The annual flower show is happening next weekend...;A
Free yoga classes are being;Free yoga classes are being offered at the park every...;B
This Saturday, a Vintage Car Parade;This Saturday, a vintage car parade will be held on...;B
Lost: a small, white and grey kitten near Elm Street;Lost: a small, white and grey kitten near Elm Street....;B
This Month's Performances of 'The Great Gatsby';This month, the local theater group is putting on performances...;B
A Job Fair Will Be Hosted;A job fair will be hosted at the convention center...;B
The Annual Charity Run;The annual charity run will take place this Sunday at...;A
Meet bestselling author as she discusses her latest novel;Book lovers! The library is hosting an author talk next...;A
A reminder to;A reminder to all residents that street cleaning will occur...;B
Upcoming Workshop on Personal Finance Management;Upcoming workshop on personal finance management offered by our local...;A
Free Concert This Friday Evening;The local high school's music department will be giving a...;A
Craft Fair This Sunday at the Community Church;For any local artisans, there's a craft fair this Sunday...;B
Neighborhood Watch Meeting Scheduled for Next Tuesday;Neighborhood watch meeting scheduled for next Tuesday at the town...;B
New Italian restaurant opening next week...;New Italian restaurant 'Bella Cucina' is having its grand opening...;B
A Gold Wristwatch near Fitness Center...;Lost: A gold wristwatch near the fitness center. It holds...;B
For sports enthusiasts a ping pong tournament;For sports enthusiasts, a ping pong tournament will be held...;B
Coffee and cake meetup;Coffee and cake meetup at the senior center this Thursday....;B
There Will Be A Pet Adoption Day;Dog owners! There will be a pet adoption day next...;A
Wellness Weekend Coming Up;Wellness weekend coming up at the spa resort. Special rates...;A
Reminder: Parcels left for more than a week will be...;Reminder: Please collect your post from the mail room regularly....;A
Jazz Night at the Blue Moon Café;Jazz night at the Blue Moon Café this Saturday from...;A
Notice of road closure;Notice of road closure: Maple Street will be repaved next...;B
Join us for a Guided Tour of the Old Fortress;History buffs! Join us for a guided tour of the...;B
Call for volunteers this Friday;Call for volunteers at the food bank this Friday. Help...;B
Lost: An e-reader device at the town beach.;Lost: An e-reader device at the town beach. It has...;B
Kids' Movie Night at the Public Library;Kids' movie night at the public library this Friday. Showing...;B
Upcoming Home Improvement Workshop;Upcoming home improvement workshop at the local hardware store. Learn...;A
Annual Winter Carnival Announced!;Annual winter carnival announced! Mark your calendars for a fun-filled...;A
The Neighborhood Watch Group is Seeking New Members;The neighborhood watch group is seeking new members. If you're...;B
I'm Offering Lawn Mowing Services This Summer;I’m offering lawn mowing services this summer. I have my...;A
Urgent: Our Local Animal Shelter is at Capacity;Urgent: Our local animal shelter is at capacity. If you've...;A
"The annual ""Books for Kids"" drive";"The annual ""Books for Kids"" drive is happening now. We're...";B
Lost: A Small, Black Leather Wallet;Lost: a small, black leather wallet near the high school...;B
Community Center Hosts Plant Swap Event This;Attention gardeners! This weekend, the community center will host a...;B
Are You Looking to Refresh Your Wardrobe?;Are you looking to refresh your wardrobe without breaking the...;B
Needing a Babysitter?;Needing a babysitter? Several local teens have completed the certified...;B
The local library invites children;The local library invites children ages 4-8 to join the...;B
City Council to Hold Public Hearing on New Park Proposal;The city council will hold a public hearing on the...;A
Fresh produce alert;Fresh produce alert: The farmers' market will be open this...;A
Calling All Musicians;Calling all musicians! There's an open mic night every Friday...;A
Don't Forget to Turn Your Clocks Back;Reminder: Daylight saving time ends this weekend. Don't forget to...;A
Yoga in the Park is Back!;Yoga in the park is back! Free sessions every Sunday...;B
Town Hall Meeting Alert: A discussion on public transportation improvements...;Town hall meeting alert: A discussion on public transportation improvements...;B
Driveway Sale This Saturday;Driveway sale happening in Greenwood Lane this Saturday. Great bargains...;B
Found: A small cat with a blue collar near Maple...;Found: A small cat with a blue collar near Maple...;B
The Community Theater Group Announces Auditions for 'The Sound of...;The community theater group announces auditions for 'The Sound of...;B
Cleaning out your attic?;Cleaning out your attic? Consider donating unwanted items to the...;A
"This month's read is ""The Great Gatsby""";Book club meeting notice: This month's read is 'The Great...;A
One-bedroom apartment overlooking the community park;For rent: One-bedroom apartment overlooking the community park. Perfect for...;B
Volunteers Needed! The Annual River;Volunteers needed! The annual river clean-up project is next month....;A
Avoid Fines by Renewing Your Pet Registration;Reminder: Pet registration renewal is due at the end of...;A
Piano Lessons Offered...;Piano lessons offered by experienced teacher in the area. Suitable...;B
Summer Memberships at a Discount;The sports complex is offering summer memberships at a discount....;B
The High School Marching Band Will Perform;The high school marching band will perform at the city...;B
Garage Band Competition Next Month at the Community Fair;Garage band competition at the community fair next month. Sign...;B
Main Street will be partially closed;Road closure notice: Main Street will be partially closed for...;B
Local Cafe Is Hiring Part-Time Baristas;Job alert: Local cafe is hiring part-time baristas. Great work...;B
Free art workshop this Sunday;Free art workshop at the community arts center this Sunday....;A
The Annual Pet Vaccination Drive;Reminder: The annual pet vaccination drive is happening this Saturday...;A
I'm offering guitar;I'm offering guitar lessons in the evenings and weekends. Whether...;A
The Community Center is Offering Free CPR and First Aid...;The community center is offering free CPR and first aid...;A
Community Garden Plots Now Available;Our community garden plots are now available for the coming...;B
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...;A
Local School Board Meeting Alert;Local school board meeting alert: Join us this Thursday evening...;B
Increased patrols have begun in response;Neighbourhood watch update: Increased patrols have begun in response to...;B
I Looking for a running partner?;Looking for a running partner? I run three times a...;B
Are you a local artist or craftsperson?;Are you a local artist or craftsperson? We're setting up...;B
Yoga classes now available at the;Yoga classes now available at the fitness center! Beginners are...;A
The Great Believers;Library reminder: The book club meets next Tuesday to discuss...;A
Anyone Lost a Grey Tabby Cat;Anyone lost a grey tabby cat in the Maple Street...;B
Join our neighborhood cleanup day!;Join our neighborhood cleanup day!...;A
Reminder: Dog Walking is Not Allowed;Reminder: Dog walking is not allowed on the artificial turf...;B
Found: A pair of prescription glasses;Found: A pair of prescription glasses in a black case...;A
I’m Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...;B
Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...;A
There's a new exhibit;There's a new exhibit on regional wildlife at the Natural...;B
I need to clean out my gutters;Does anyone have a ladder I can borrow for a...;A
A documentary film about the history of our town;A documentary film about the history of our town is...;B
Missing: One small drone;Missing: One small drone, last seen flying near Maple Street...;B
Donations of costumes and props needed for local theatre's season.;The local theatre is seeking donations of costumes and props...;A
Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...;B
Join the community choir - fun, no auditions required!;The community choir is seeking enthusiastic voices! Join us for...;B
Urgent Requirement for Canned Food Donations;Urgent requirement for canned food donations at our local food...;B
Exciting Opportunity for Creatives!;Exciting opportunity for creatives! A new arts magazine is looking...;A
Experiencing Computer Troubles;Experiencing computer troubles? Any recommendations for a trusted local technician...;B
Found: Black hiking poles with blue grips at Mount Parker...;Found: Black hiking poles with blue grips at Mount Parker...;B
Neighborhood Watch Meeting This Thursday;Reminder: Neighborhood watch meeting this Thursday at 7 PM at...;A
Free Yas Free Yoga;Free yoga classes this weekend at the park! Bring a...;B
Looking for Volunteering Opportunities at Annual Town Festival;Looking for volunteers to help with the annual town festival....;A
The Community Garden is Now Open for Registration;The community garden is now open for registration. Secure your...;A
Lost Dog Alert;Lost dog alert: Small brown terrier, last seen near Oak...;B
Garage sale this Saturday on Elm St;Garage sale this Saturday on Elm St from 8 AM...;A
Join Our Monthly Book Discussion Group;Book lovers unite! Join our monthly book discussion group. This...;B
A New Craft Bakery in Town;Opening soon: A new craft bakery in town. We ......;B
Street Art Competition This Month. Artists Wanted!;Street art competition this month. Artists wanted! Showcase your skills...;A
Tree Planting Event;Tree planting event next month â€“ volunteers needed to help...;A
Piano Teacher Offering Lessons for All Ages;Piano teacher offering lessons for all ages and skill levels....;B
Lost Cat: Grey with White Paws;Lost cat: Grey with white paws, very friendly. Last seen...;A
Neighborhood Car Wash Fundraiser This Sunday;Neighborhood car wash fundraiser this Sunday at the high school...;A
A Midsummer Night's Dream;Local theater group holding auditions for 'A Midsummer Night's Dream'....;B
Local Artisan Market this Sunday;Local artisan market this Sunday â€“ come support our talented...;B
Notice for Roadworks on Main St. starting next week.;Notice for roadworks on Main St. starting next week. Expect...;B
Seasonal Flu Vaccinations Available;Seasonal flu vaccinations available at the community health center. Protect...;B
Lost Digital Camera Reward;Lost: Digital camera near the community center. Contains personal photos....;A
Meet Your Neighbors and Learn About Our Community Services;Coffee morning for new residents. Come meet your neighbors and...;A
Free Computer Programming Workshop this Weekend;Free computer programming workshop this weekend at the library. Beginners...;B
Historical Society Lecture on the Town's Founding Pioneers;Historical society lecture on the town's founding pioneers. Join us...;B
Keep Our Parks Clean!;Keep our parks clean! Participate in the community cleanup this...;B
Thinking of Adopting a Pet? Visit Our Local Animal Shelter;Thinking of adopting a pet? Visit our local animal shelter...;A
Urgently Needed: Volunteers for the Community Soup Kitchen;Urgently needed: Volunteers for the community soup kitchen. Help provide...;A
Spice up your weekend with our international;Spice up your weekend with our international food fair at...;B
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...;B
Volunteer Drivers Needed for Grocery Shopping Trips;The seniors' center is looking for volunteer drivers to help...;B
The annual community clean-up day is fast approaching.;The annual community clean-up day is fast approaching. Gather at...;A
Reminder: Property Taxes Are Due;Reminder: Property taxes are due at the end of the...;B
The city's annual jazz festival;The city's annual jazz festival is looking for volunteers. If...;A
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...;B
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...;B
We're starting a community cycling group;We're starting a community cycling group that will meet every...;A
I'm a professional photographer offering mini;I'm a professional photographer offering mini photo sessions this weekend...;B
The Neighborhood Association is Looking;The neighborhood association is looking for articles and photos for...;A
The local Veterans Group Charity Raffle;The local veterans' group is organizing a charity raffle to...;A
I'm offering tutoring services for;I'm offering tutoring services for middle and high school students...;B
Join Us for the annual Tree Planting Day this Sunday;Join us for the annual Tree Planting Day this Sunday...;B
CPR and First Aid Training Session This Saturday;There will be a CPR and first aid training session...;A
Please message me if interested.;Please message me if interested....;A
Iâ€™m trying to find a friendly stray cat Iâ€™ve been...;Iâ€™m trying to find a home for a friendly stray...;B
The annual food drive starts;The annual food drive for the local pantry starts next...;A
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...;A
It has great sentimental value;It has great sentimental value as it was a gift....;B
A small drone;Lost: A small drone, last seen flying over Maple Park...;A
Friendly Dog Found near Elm Street;Friendly dog found near Elm Street. Appears to be a...;B
Community Potluck this Saturday;Reminder: Community potluck this Saturday at 5 PM in the...;A
Looking for volunteers;Looking for volunteers to help with the school fundraiser event...;A
MISSING: Black and white tuxedo, very shy.;Missing cat: Black and white tuxedo, very shy. Last seen...;B
Join us for our annual Easter Egg Hunt;Join us for our annual Easter egg hunt this Sunday...;A
Free Piano Lessons;Free piano lessons offered at the local library every Wednesday....;A
Come and find your treasure;Garage sale this weekend at 45 Oak Avenue. Come and...;A
Free Yoga Classes Available;Free yoga classes available at the community center. Classes every...;B
Urgent: Volunteers Needed;Urgent: Volunteers needed for the riverside clean-up project this Saturday....;A
Silver locket with a picture inside;Lost: Silver locket with a picture inside, highly sentimental. Lost...;B
Neighborhood watch meeting this Wednesday at 7 PM;Neighborhood watch meeting this Wednesday at 7 PM. Discussing recent...;B
Found: Set of car keys near the Main Square.;Found: Set of car keys near the Main Square. Please...;B
Discussing 'To Kill a Mockingbird';Reminder: Book club meeting tonight at the public library. Discussing...;A
Request for Old Magazines and Books;Request for old magazines and books for the senior center....;B
Help Needed: Looking for Someone to Assist;Help needed: Looking for someone to assist with walking dogs...;B
Lost: Kidsâ€™ Backpack with Superheroes Design Near Town Playground;Lost: Kidsâ€™ backpack, red with superheroes design, near town playground....;A
Neighborhood BBQ this Sunday;Neighborhood BBQ this Sunday! Join us at Green Meadow Park...;B
Found: Kidsâ€™ plush toy;Found: Kidsâ€™ plush toy near the community garden. If yours,...;A
Substitute Teacher Needed;Substitute teacher needed for community art class. If you have...;A
Lost: Prescription Glasses;Lost: Prescription glasses, black frame, near the downtown cafe last...;A
Found: Antique Bracelet with Charms;Found: Bracelet with charms, looks antique. Found on Oak Street,...;B
Community garden plots now available;Community garden plots now available for the spring season. If...;A
Lost: Small notebook, blue cover, with personal notes;Lost: Small notebook, blue cover, with personal notes, near High...;A
Moving Assistance Needed This Friday;Help request: Moving assistance needed this Friday from 9 to...;B
Curbside Pickup Starts Next Week;Curbside pickup for large trash items starts next week. Ensure...;A
Attention dog owners: A;Attention dog owners: A new dog park is opening next...;A
Our Neighborhood Watch Meeting Concerns Over Vehicle Break-Ins;Our neighborhood watch is organizing a meeting to discuss recent...;B
Property taxes are due at the end of the month.;Reminder: Property taxes are due at the end of the...;B
We're looking for local bands;We're looking for local bands to perform at the upcoming...;B
The Haunted House Fundraiser is Back;The annual haunted house fundraiser is back! We're looking for...;B
New Book Club Alert;New Book Club Alert: Lovers of literature are invited to...;B
A Community Yard Sale;A community yard sale is scheduled for next month. ......;B
It's time for our quarterly park cleanup;It's time for our quarterly park cleanup initiative. Gather your...;B
Local Art Exhibition;Local Art Exhibition: Visit the town hall this weekend to...;B
Calling All Photographers;Calling all photographers! The city is hosting a photography contest...;B
Streetlight Maintenance Scheduled;Streetlight maintenance is scheduled to start next Monday. Expect minor...;B
Free Yoga classes will be starting;Free Yoga classes will be starting next week in the...;A
Blood Drive This Weekend;Blood drive this weekend at the community shelter. We need...;B
Seeking Input on New Curricular Changes;The local school board is seeking input on new curricular...;A
Pothole Repair Begins Tomorrow;Pothole repair on Main Street begins tomorrow. Traffic may be...;A
Fall is Here and So is Our Annual Pumpkin Fest...;Fall is here and so is our annual Pumpkin Fest!...;B
Homeowners' meeting to discuss upcoming changes;Homeowners' meeting to discuss upcoming changes in the community bylaws....;B
Learn How to Protect Your Home and Family;Our local firefighters are hosting a 'Fire Safety Day.' Learn...;A
Join Our 'Grow Green' Workshop;Gardening enthusiasts, join our 'Grow Green' workshop this Thursday at...;B
Lost Pet Alert: A black and white cat has been...;Lost Pet Alert: A black and white cat has been...;A
Enjoy a Family Movie Night Under the Stars;This Sunday, enjoy a family movie night under the stars...;A
Sports League Registrations Are Now Open;Sports league registrations are now open for soccer, basketball, and...;A
Bring your best dishes;Neighborhood Cookout: Bring your best dishes and enjoy a day...;B
Elder Care Workshop Available This Month...;Elder care workshop available this month. Learn valuable caregiving techniques...;A
Interested in Quilting?;Interested in quilting? Join our weekly quilting bee, each Monday...;A
We're Planting 100 Trees;Green initiative: We're planting 100 trees in our neighborhood this...;B
Winter Weather Advisory;Winter weather advisory: Please clear sidewalks of snow and ice...;B
Lost and Found:;Lost and found: Missing a bicycle or a set of...;A
Meet-up this Thursday at the community cafÃ¨;Entrepreneur meet-up this Thursday at the community cafÃ©. Connect, share...;A
Community Pool Closure Next Monday to Wednesday;A reminder that the community pool will be closed for...;A
A Note to All Dog Owners;A note to all dog owners: Please clean up after...;B
If Anyone is Interested in Participating in a Community;If anyone is interested in participating in a community quilt...;A
The neighborhood association;The neighborhood association is looking for articles and photos for...;B
Volunteers Needed for Harvest Festival;Volunteers are needed to help set up and take down...;B
The Community Theater Seeks Donations of Old Costumes and Props;The community theater is seeking donations of old costumes and...;A
Honoring Our Service Members;The local veterans' association is organizing a community picnic next...;B
Let's Clean Up Our Beaches;Let's clean up our beaches! I'm organizing a beach clean-up...;A
Thank You;To the person who helped me jump-start my car near...;A
"Annual ""Light Up the Night"" Holiday Parade";"Our annual ""Light Up the Night"" holiday parade is seeking...";B
Networking Event for Small Business Owners;The local business association is hosting a networking event for...;A
Visit the community center next Wednesday;Visit the community center next Wednesday between 10 AM and...;B
If Anyone In;If anyone in the neighborhood teaches piano, please contact me....;A
Attend the Local Veterans' Group Charity Raffle;Attend the local veterans' group charity raffle. Help support valuable...;A
Deadline Alert!;Deadline alert! Register by next Saturday for the community soccer...;B
Help Beautify Our Neighborhood this Saturday!;Help beautify our neighborhood this Saturday! Volunteers needed to pick...;B
Talent Wanted!;Talent wanted! Our community theater group is holding auditions next...;B
Huge neighborhood garage sale this Sunday;Huge neighborhood garage sale this Sunday at Pine Street. Find...;B
Donate your old books to support our local schools;Donate your old books to support our local schools. Drop-off...;A
Looking for a furry friend?;Looking for a furry friend? Visit the animal shelter this...;B
Got Too Many Plants?;Got too many plants? Join the garden club's plant swap...;B
Relax and enjoy an evening of jazz music at the;Relax and enjoy an evening of jazz music at the...;B
Looking for work?;Looking for work? Visit our part-time job fair next Wednesday...;B
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...;B
Found: A childâ€™s drawing;Found: A childâ€™s drawing pad with sketches, found on a...;A
A Reading Group is Forming...;A reading group is forming at the local library for...;A
Public Safety Notice;Public safety notice: Please remember to lock your vehicles and...;B
Looking for Reliable Babysitter in the Area;Looking for recommendations for a reliable babysitter in the area....;A
Urgent: Our Local Animal Shelter is Full!;Urgent: Our local animal shelter is full! Please consider adopting...;A
Weekly Movie Night at My Place;Weekly movie night at my place! Join us for classic...;B
Join Our Weekly Meal-Prep Group;Join our weekly meal-prep group! Cook bulk meals for the...;A
I craft handmade jewelry;I craft handmade jewelry and plan to sell at the...;B
Free Health Clinic this Saturday;Free health clinic this Saturday at the community center, 9...;B
Pet Adoption Urgency;Pet Adoption Urgency: The shelter is overflowing. Adopt your new...;A
Classic Film Nights;Classic Film Nights: Every week at my house. Bring snacks...;A
Meal Prep Fun: Gather each week to cook and chat;Meal Prep Fun: Gather each week to cook and chat....;A
Jewelry Maker Seeking Tips: Setting up a booth;Jewelry Maker Seeking Tips: Setting up a booth at the...;B
Health Check Opportunities: Free clinic this Saturday;Health Check Opportunities: Free clinic this Saturday, don't miss out...;B
Adopt a Pet Today: No Fees;Adopt a Pet Today: Help reduce the shelter's burden, no...;A
Movie Lovers Alert;Movie Lovers Alert: Hosted weekly at my place. Dive into...;B
Weekly Session;Cooking Collective: Weekly session...;A
Jewelry Selling at Local Markets;Jewelry Selling at Local Markets: Seeking advice to start...;A
Essential Health Services Free;Essential Health Services Free: Blood pressure, flu shots at the...;B
Pets Need Homes;Pets Need Homes: No fees this month. Add a furry...;A
Film Enthusiasts Invited: Weekly classics screening in;Film Enthusiasts Invited: Weekly classics screening in a prime setup....;B
Join Us for Meal-Prepping and Tips Exchange;Community Cooking: Join us for meal-prepping and tips exchange....;A
Starting a market booth for handmade crafts;Local Artisan Advice: Starting a market booth for handmade crafts....;B
Free Medical Services This;Free Medical Services: This weekend at the community center. Stay...;A
Animal Shelter Crisis: Urgent help needed to adopt pets.;Animal Shelter Crisis: Urgent help needed to adopt pets. Fee...;B
Weekly Classic Movies;Enjoy Classic Movies: Weekly gatherings at a home theater setup....;B
Meal Preparation;Meal Preparation Together: Save on week's meals and make new...;A
Advice for Craft Market Booths;Advice for Craft Market Booths: Looking for experienced insights....;B
Get Your Flu Shot and More This Saturday;Health Screenings Available: Come get your flu shot and more...;A
Adopt a Pet for Free This Month;Help Local Shelters: Adopt a pet for free this month....;A
Gather for Movie Classics;Gather for Movie Classics: Share the joy of cinema weekly....;B
Weekly Meal Prep Meet-Up;Weekly Meal Prep Meet-Up: Cook in bulk and share culinary...;B
Tips for Market Vendors;Tips for Market Vendors: Insights on selling handmade jewelry....;B
Healthcare Services for Free;Healthcare Services for Free: Don't miss this Saturday's community health...;A
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...;B
Missing: One small drone, last seen;Missing: One small drone, last seen flying near Maple Street...;A
I Found a Set of Keys Near the Bus Stop...;I found a set of keys near the bus stop...;B
I'm Offering Math Tutoring for High School Students;Iâ€™m offering math tutoring for high school students. If your...;A
We've noticed an increase in;We've noticed an increase in graffiti and vandalism at the...;B
Join us this Saturday to revitalize the historic Johnson's Field!;Join us this Saturday to revitalize the historic Johnson's Field!...;B
Interested in local history?;Interested in local history? Volunteer for the libraryâ€™s archive sorting...;B
Free Pilates Sessions Every Wednesday at 6 PM;Reminder! Free pilates sessions every Wednesday at 6 PM in...;A
Calling All Artists!;Calling all artists! Contribute your skills to the mural project...;A
Book Lovers Unite for Annual Book Swap Event;Book lovers unite for the annual book swap event next...;B
Pet adoption day this Sunday;Pet adoption day this Sunday at Pet Haven Shelter! Come...;A
Gardeners, gear up for the Spring Seed Swap;Gardeners, gear up for the Spring Seed Swap at Green...;B
DIY Workshop! Learn how to upcycle furniture this Tuesday at...;DIY Workshop! Learn how to upcycle furniture this Tuesday at...;A
Neighborhood Watch Meeting this Monday at;Neighborhood watch meeting at the town hall this Monday at...;A
Fitness Fun Day in Riverside Park next Sunday!;Fitness fun day in Riverside Park next Sunday! Activities include...;A
Tech Help Day;Tech help day! Volunteers needed to assist seniors with using...;B
Annual Pie Bake-Off;Foodies alert! The annual Pie Bake-Off is happening at the...;B
Seeking Volunteers for Local Theater Production's Set Design;Local theater group is seeking volunteers for their upcoming production's...;A
Join the conversation at the Town Hall this Wednesday;Join the conversation at the Town Hall this Wednesday at...;B
Craft Fair next weekend at Oakwood School!;Craft Fair next weekend at Oakwood School! Local artisans will...;A
Have A Green Thumb?;Have a green thumb? Help plant new trees at Liberty...;B
Clean Water ProjectMeeting this Thursday;Clean Water Project meeting this Thursday at the community office....;B
Discover Historic walking tour of Old Town every Saturday morning.;Historic walking tour of Old Town every Saturday morning. Discover...;B
"""Join our monthly book club this Tuesday""";Join our monthly book club at the library this Tuesday....;B
Run for a cause!;Run for a cause! Charity 5K run next Wednesday at...;A
Neighborhood cleanup day is around the corner!;Neighborhood cleanup day is around the corner! Meet at Pine...;B
Weekly Chess Nights Start;Chess enthusiasts! Weekly chess nights start this Thursday at the...;A
Get Ready for the Kids Talent Show;Get ready for the Kids Talent Show! It's going down...;B
Update Your Wardrobe at the Clothing Swap Event;Update your wardrobe at the Clothing Swap Event next Friday...;A
Zumba Party at Central Gym;Zumba party at Central Gym every Monday at 7 PM....;B
Harvest Celebration;Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;A
Learn about Local Bird Species at our Bird Watching Club;Learn about local bird species at our Bird Watching Club....;B
Film Night Under the Stars This Friday;Film night under the stars at the community park this...;A
Join our city's Citizen Assembly to discuss;Join our cityâ€™s Citizen Assembly to discuss upcoming projects and...;A
Help make a difference for animals in need;Volunteer with us at the local animal shelter this weekend....;B
