Subject Line A;Subject Line B;Target
The local library is hosting a book club meeting this...;The Nightingale Book Club Meeting This Thursday;A
Job Opportunity: Our local library is hiring a part-time librarian...;Job Opportunity;A
Reminder: The community garden is open every Sunday from 1...;The community garden is open every Sunday from 1 PM...;A
Art Lovers Unite: Join us for a free painting class...;Art Lovers Unite: Join us for a free painting class...;B
Attention all pet owners! The local animal shelter is hosting...;Attention All Pet Owners!;A
Lost cat alert: I'm looking for my beloved feline friend,...;LOST CAT ALERT;A
Community potluck dinner and game night this Friday at 6...;Bring Your Favorite Dish To Share;A
The local library is hosting a book drive this month!...;The local library is hosting a book drive this month!;B
A local artist is hosting a free painting class this...;Free Painting Class this Saturday at the Library;B
Join us for a night of jazz and wine at...;Join us for a night of jazz and wine;B
Wanted: Reliable babysitter for occasional evening care of two children,...;Wanted: Reliable babysitter for occasional evening care of two children;A
Must be trustworthy and have experience with school-age kids. Contact...;Must be trustworthy;A
Lost: A small black wallet containing cash, credit cards, and...;Lost Wallet Found Near Downtown Fountain;A
For sale: A gently used upright piano, perfect for music...;For Sale: A Gently Used Upright Piano;B
Reminder: The annual community clean-up event is happening this Saturday...;The annual community clean-up event is happening this Saturday at...;B
Found wallet near the coffee shop on Main St. It...;Found Wallet Near Coffee Shop;A
The new library branch opening ceremony takes place next Wednesday...;New Library Branch Opening Ceremony;A
Traffic note: Lane closures on Highway 12 starting Monday morning....;Lane Closures on Highway 12 Starting Monday Morning;A
There's an upcoming concert by local musician, Emma Taylor, happening...;Don't Miss Out! This Friday Night Concert;A
Job Opportunity: Our local bookstore is hiring a part-time sales...;Job Opportunity: Our local bookstore is hiring a part-time sales...;B
The local library is hosting an author reading series, featuring...;Author Reading Series;A
Meet the authors, ask questions, and get inspired by their...;Meet the Authors, Ask Questions;B
Free Yoga Classes: Join us for a series of free...;Free Yoga Classes;B
Attention: The annual town cleanup event is scheduled for next...;ATTENTION: The annual town cleanup event is scheduled for next...;B
Local artist seeking volunteers to help with a mural project...;Local Artist Seeking Volunteers;B
Community alert: Neighborhood watch meeting tonight! Join us at 7...;Neighborhood Watch Meeting Tonight!;B
Attention all book lovers! The library is hosting a used...;Attention all book lovers!;A
The city's annual clean-up event is coming up on Saturday,...;The City's Annual Clean-Up Event Is Coming Up;B
The local farmer's market is hosting a special holiday event...;The Local Farmer's Market Holiday Event This Saturday;B
Our community's annual charity walk/run will take place on December...;Register Now for Charity Walk/Run;A
Free computer classes are available at the library every Wednesday...;Learn Basic Skills or Improve Your Digital Literacy;A
The community garden is seeking volunteers to help prepare for...;Join us on Saturday, January 5th, and get hands-on experience...;A
Don't miss the holiday concert at City Hall this Friday!...;Don't Miss the Holiday Concert at City Hall This Friday!;A
Wanted: A reliable babysitter for a family of four, available...;Wanted: Reliable Babysitter for a Family;A
Found: A small, white cat with a pink collar and...;Found: A small, white cat with a pink collar and...;A
The local library is hosting a book drive to benefit...;The Local Library Is Hosting A Book Drive;B
"The local animal shelter is hosting a ""Furry Friends"" adoption...";Furry Friends Adoption Event This Weekend;B
Attention all foodies! Our local farmers' market is looking for...;FOODIES! Our local farmers' market is looking for new vendors;A
For sale: Gently used stroller suitable for newborns to toddlers....;For Sale: Gently Used Stroller Suitable For Newborns;B
Wanted: A reliable and trustworthy dog walker to care for...;Wanted: Reliable Dog Walker;A
Found: A lost cat, Fluffy, has been spotted near Oakwood...;Found: A Lost Cat, Fluffy, Spotted Near Oakwood Drive;B
Calling all bookworms! Our library is hosting a used bookstore...;Used Bookstore Sale on October 15th;A
Calling all bookworms: Our local library is hosting a used...;Used Book Sale This Weekend!;B
Attention all gardeners! The local nursery is offering a free...;Don't Miss Out on Learning How to Turn Your Food...;B
Calling all gardeners! The community garden is looking for volunteers...;Join us every Saturday morning at 9 AM;B
The local animal shelter has a new litter of adorable...;The local animal shelter has a new litter of adorable...;B
Attention all book lovers: Our library is hosting an author...;Attention all book lovers;B
The community center's art studio is offering a free painting...;FREE Painting Class for Kids Next Saturday;A
Reminder: Our neighborhood association meeting will take place this Wednesday...;Our Neighborhood Association Meeting This Wednesday;A
The local YMCA is hosting a charity walk/run event on...;CHARITY WALK/Run Event for Food Bank on April 1st;A
The local book club is hosting an author reading and...;The Power of Now;B
Wanted: A reliable babysitter for a family of four, available...;Reliable Babysitter Wanted;B
Attention all book lovers! The library is hosting a used...;Used Book Sale This Saturday;A
Reminder: Please keep your plants watered and pruned to maintain...;Please keep your plants watered and pruned;B
Attention all artists: The annual art show is just around...;Attention All Artists;B
A lost cat has been spotted wandering near the park...;A Lost Cat Spotted Near Park Entrance;A
Get ready for the Community Potluck! It's happening at the...;Get Ready for the Community Potluck!;A
The neighborhood association is looking for volunteers to help with...;The Neighborhood Association is Looking for Volunteers;B
Local Author Book Signing: Meet local author Jane Doe at...;Meet local author at our library this Saturday;A
Calling all book lovers! Our local library is hosting an...;Calling all book lovers!;B
The annual charity walk/run is coming up on March 19th!...;Annual Charity Walk/Run - Join Us for a Morning of...;A
Community Clean-Up: Join us this Saturday at the local park...;Join us this Saturday for a community clean-up event!;A
Community Clean-Up: Join us on Saturday, April 15th for a...;Join us for a Community Clean-Up Event!;B
Calling all book lovers! Our town's library is hosting a...;Used Bookstore Sale This Saturday;A
Missing: Golden retriever named 'Max'. Last seen around Oakwood Park,...;MISSING: Golden Retriever Named 'Max';B
Join us for a FREE yoga class this Saturday at...;FREE Yoga Class this Saturday;B
Book Club: Meet fellow book lovers and discuss our latest...;Meet fellow book lovers and discuss our latest read;A
Community Clean-Up Day: Help keep our town beautiful by joining...;Community Clean-Up Day;A
Reminder: The annual summer festival is just around the corner!...;The annual summer festival is just around the corner!;B
Volunteer Opportunity: Help our local animal shelter by participating in...;Volunteer Opportunity: Help our local animal shelter;A
Garage Sale Alert: We're having a massive garage sale this...;Garage Sale Alert: We're having a massive garage sale this...;A
Attention all book lovers! The local library is hosting a...;Used Bookstore Sale This Saturday;B
Community Clean-Up: Join us for a community clean-up event on...;Join us for a community clean-up event;B
Free Yoga Class: Start your week off right with a...;Free Yoga Class: Limited spots available!;A
"Local Business Grand Opening: Congratulations to ""The Daily Grind"" on...";"Congratulations to ""The Daily Grind"" on their grand opening!";A
Public Art Installation: The city is seeking submissions for a...;Public Art Installation;A
Volunteer Opportunity: Help make a difference by volunteering at our...;Volunteer Opportunity: Help make a difference by volunteering at our...;A
Wanted: A friendly and reliable dog walker to take care...;Wanted: Dog Walker for Next Week;B
The local library is hosting an author reading series this...;The local library is hosting an author reading series this...;A
Attention all cyclists! A new bike lane has been installed...;Attention All Cyclists!;B
Calling all artists! The city is hosting a mural competition...;Calling all artists!;A
Reminder: Our annual Halloween party will be held at the...;Halloween Party at the Community Center;A
For sale: Gently used baby equipment, including stroller, car seat,...;For Sale: Gently Used Baby Equipment;B
The annual neighborhood potluck dinner is scheduled for next weekend!...;ANNUAL NEIGHBORHOOD POTLUCK DINNER IS SCHEDULED FOR NEXT WEEKEND;B
The local library is hosting a book club for adults...;Join Us for Book Club;B
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair This Saturday;A
Book Club: Join us this month as we discuss 'The...;The Nightingale;A
Volunteer Opportunity: Help out with our annual clean-up event in...;Help out with our annual clean-up event in the park...;B
Local Artist Showcase: Join us for an evening of art,...;Local Artist Showcase this Friday;B
Yoga Class: Get flexible with our new yoga class every...;Yoga Class Every Wednesday Night;A
Garage Sale Alert!: Score some amazing deals on gently used...;Garage Sale Alert!;A
Local Authors Invited: Join us at the Library this Thursday...;Join us at the Library this Thursday at 6 PM...;A
Book Club: Join us for a discussion on our latest...;The Great Gatsby Book Club Meeting;A
Garage Sale: A family is having a garage sale this...;Garage Sale: Expect to find great deals on gently used...;B
Important update: The city is conducting a streetlight maintenance project...;Important Update: Streetlight Maintenance Project;A
Lost: A silver necklace with a small locket, last seen...;LOST: Silver Necklace with Small Locket;B
Lost Dog: A small white fluffy dog with a pink...;LOST DOG: Small white fluffy dog with pink collar near...;A
Seeking volunteers for our annual charity walk/run on March 17th!...;Seeking volunteers for our annual charity walk/run;A
Attention all book lovers! Our library's annual used bookstore sale...;ATTENTION All Book Lovers!;B
Film Buffs Unite! Join us every Thursday at 7 PM...;Film Buffs Unite! Join us every Thursday at 7 PM...;A
Community event: The annual SummerFest celebration will take place this...;SummerFest Celebration This Saturday;B
Job Opportunity: The local animal shelter is looking for volunteers...;Job Opportunity;A
Book Club Reminder: Don't forget to bring your copy of...;"Don't Forget To Bring Your Copy Of ""The Great Gatsby""";A
Calling all gardeners! Our neighborhood gardening club is hosting a...;Calling all gardeners! Our neighborhood gardening club is hosting a...;B
Wanted: A reliable used bike for a local charity event....;Wanted: Reliable Used Bike for Charity;A
Attention all gardeners! The city's annual flower show is just...;Attention All Gardeners! The City's Annual Flower Show Is Just...;B
Don't miss out on our community's favorite event - the...;SummerFest Celebration - Live Music and Delicious Food;B
Calling all bookworms! Our local library is hosting an author...;Author Reading Series This Summer;B
Attention parents: The city's recreation department is offering a new...;Attention Parents;B
Community Potluck: Join us for a potluck dinner at the...;Join Us for a Potluck Dinner this Friday!;A
Reminder: The annual town fair is coming up on June...;The Annual Town Fair is Coming Up on June 15th;B
Local Artist Showcase: Support local talent by attending our artist...;Local Artist Showcase;A
Volunteer Opportunity: Help us keep our parks clean! Join our...;Help Us Keep Our Parks Clean;A
Important Notice: The town library will be closed for renovations...;Important Notice: The town library will be closed for renovations...;A
Garage Sale: Saturday, April 15th from 8 AM to 2...;Garage Sale: Saturday, April 15th from 8 AM to 2...;A
Neighborhood Potluck Dinner: Join us this Sunday evening at the...;Join us this Sunday evening for a potluck dinner;B
Free Yoga Class: This Wednesday from 6 PM to 7...;Free Yoga Class This Wednesday from 6 PM to 7...;B
Book Club Meeting: Join us this Thursday evening at 7...;Join us this Thursday evening at 7 PM at the...;A
Community Clean-Up Day: Saturday, April 22nd from 9 AM to...;Community Clean-Up Day;A
Community event alert: The annual SummerFest celebration is happening this...;The annual SummerFest celebration is happening this Saturday at City...;B
Wanted: A reliable and responsible dog walker is needed for...;Wanted: Reliable and Responsible Dog Walker Needed;B
Artistic Expression: The local art museum is hosting an open...;The local art museum is hosting an open mic night...;B
Local artist's studio open house this weekend! Meet the talented...;Local Artist's Studio Open House This Weekend!;A
Local Book Club: Join us every third Thursday of the...;Local Book Club: Join us every third Thursday of the...;A
Reminder: The annual town-wide yard sale is just around the...;The annual town-wide yard sale is just around the corner!;B
Reminder: The annual community clean-up event is scheduled for this...;Annual Community Clean-up Event This Saturday;A
Community clean-up event! Join us this Saturday from 9 AM...;Community Clean-up Event!;B
Calling all nature enthusiasts! Join us for a guided hike...;Join us for a guided hike this Saturday at 9...;A
Join us at the local library this Saturday for a...;Join us at the local library this Saturday for a...;A
Calling all bookworms! The library is hosting a summer reading...;Read, Create, and Win Prizes;A
"The local animal shelter is hosting a ""Clear the Shelters""...";"""Clear the Shelters"" Event This Saturday";B
The local animal shelter is hosting an adoption fair this...;The Local Animal Shelter Is Hosting An Adoption Fair This...;B
Wanted: A reliable used car for sale, preferably with low...;Wanted: A reliable used car for sale;B
Community Garage Sale: Calling all bargain hunters! Our neighborhood is...;Community Garage Sale;A
Reminder: The local library's summer reading program is ending soon!...;The Local Library's Summer Reading Program is Ending Soon!;A
Job Opening: The local library is looking for a part-time...;Job Opening;B
Free concert series starts this weekend at the park! Join...;Free Concert Series Starts This Weekend at the Park;B
The local food bank is hosting a can drive this...;The local food bank is hosting a can drive this...;A
The annual neighborhood garage sale will be held this Saturday...;The annual neighborhood garage sale will be held this Saturday...;A
The local animal shelter is hosting a pet adoption fair...;The Local Animal Shelter is Hosting a Pet Adoption Fair;A
Lost: A set of keys with a red fob and...;Lost: A set of keys with a red fob and...;A
Neighborhood Watch: Reminder to lock your doors and keep valuables...;Neighborhood Watch: Reminder to lock your doors and keep valuables...;A
Calling all book lovers: The local library is hosting a...;Used Book Drive;A
The neighborhood's annual block party is just around the corner,...;The neighborhood's annual block party is just around the corner,...;B
The annual holiday market is coming up on December 17th...;ANNUAL HOLIDAY MARKET - SHOP LOCAL AND FIND UNIQUE GIFTS;B
Community Garden Update: The plot you reserved for this season...;The plot you reserved for this season is ready!;A
The annual charity bake sale will take place at the...;Charity Bake Sale This Saturday;A
Lost: A set of keys with a house key, car...;LOST: A set of keys with a house key, car...;B
Join us for a free outdoor movie night this Friday!...;Join us for a free outdoor movie night this Friday!;A
Calling all book lovers! Our local library is hosting an...;Calling all book lovers!;A
Attention all gardeners and green thumbs! We're organizing a community...;Gardeners Unite: Learn How to Grow Your Own Herbs;B
Reminder: Our annual town festival is just around the corner,...;Our annual town festival is just around the corner;A
Notice: The local dog park will be closed temporarily due...;The local dog park will be closed temporarily due to...;A
The local library is hosting a 'Book Exchange' event next...;"""Book Exchange Event Next Thursday""";B
The town's annual summer festival is just around the corner!...;The town's annual summer festival is just around the corner!;A
The local library is hosting a summer reading program for...;Summer Reading Program for Kids and Teens!;A
Wanted: A responsible and reliable individual to walk my elderly...;Wanted: Responsible and Reliable Dog Walker;B
Reminder: The annual neighborhood garage sale will take place this...;The annual neighborhood garage sale will take place this Saturday...;A
Join us for a free yoga class at the community...;Join us for a free yoga class this Saturday!;B
Found: A vintage camera with a broken lens, discovered on...;Found: A vintage camera with a broken lens;B
Art Gallery Opening: Join us this Friday at the local...;Join us this Friday at the local art gallery for...;A
Attention all gardeners! The community gardening club is hosting a...;Attention All Gardeners! The community gardening club is hosting a...;B
A loving family is searching for their beloved golden retriever,...;A LOVING FAMILY IS SEARCHING FOR THEIR BELOVED GOLDEN RETRIEVER;B
Community Event: The annual SummerFest celebration will take place on...;SummerFest celebration will take place;A
Local artist showcase: Join us at the town square next...;Local Artist Showcase;B
The neighborhood association will be hosting a community clean-up event...;Community Clean-Up Event This Saturday;A
Attention all gardeners! The community gardening club is hosting a...;Turn Your Food Scraps into Nutrient-Rich Soil;B
Lost: A black cat with a distinctive white patch on...;Black Cat with White Patch on Nose Lost;B
Bookworms unite! Join us for a book club meeting at...;Bookworms Unite! Join Us for a Book Club Meeting;A
Join us for our annual holiday market, featuring local artisans...;Join Us for Our Annual Holiday Market;A
Calling all gardeners! The community gardening group is planning its...;Calling All Gardeners! The Community Gardening Group Needs Volunteers;A
The local library is hosting a book drive to support...;The local library is hosting a book drive.;B
The local library is hosting a book drive for our...;Donate Gently Used Books;A
Free yoga class for beginners this Saturday at the community...;Free Yoga Class for Beginners this Saturday;B
Attention all book lovers! The library is hosting a used...;Used Bookstore Sale This Saturday;A
Wanted: A reliable used bike for sale. Must be in...;Wanted: Reliable Used Bike for Sale;A
The annual charity bake sale is happening this weekend! If...;The Annual Charity Bake Sale;B
Attention all dog owners! The local park is hosting a...;Attention all dog owners!;A
Notice: The city's annual summer concert series starts next week!...;The city's annual summer concert series starts next week!;B
Wanted: A reliable babysitter to watch our two kids (ages...;Wanted: Reliable Babysitter for Two Kids;B
Reminder: The city's recycling program is changing next month. Make...;The City's Recycling Program is Changing;A
Free event: Join us for a movie night at the...;Join us for a movie night at the community center...;A
For sale: A gently used stroller suitable for toddlers (fits...;For Sale: Gently Used Stroller;B
Lost: Silver necklace with a small heart-shaped locket, last seen...;LOST: Silver Necklace with Small Heart-Shaped Locket;A
Important: The annual town fair is coming up! Mark your...;The annual town fair is coming up!;B
Lost and Found: Did you lose your favorite coffee mug...;LOST AND FOUND: Did you lose your favorite coffee mug...;B
Bookworms Unite: Join us for our monthly book club meeting...;Bookworms Unite;A
Attention all gardeners and nature lovers: The local park is...;Free Workshop on Sustainable Gardening Practices this Saturday;A
Found: A vintage typewriter has been left at the library's...;Found: Vintage Typewriter at Library Front Desk;B
Free yard waste pickup: The city is offering a free...;Free yard waste pickup day on April 15th!;B
Nature Lovers' Alert: The local park is hosting a guided...;Nature Lovers' Alert: The local park is hosting a guided...;A
Garage sale alert! I'm having a massive garage sale this...;GARAGE SALE ALERT!;A
Calling all book lovers! Our local bookstore is hosting a...;Calling all book lovers!;B
Lost: A set of keys with a house key and...;Lost: A set of keys with a house key and...;A
Attention all book lovers: The local library is hosting a...;Used Bookstore Sale This Weekend;A
Calling all bookworms! Join our literary club for a discussion...;Join Our Literary Club;B
Reminder: The community garden is open to all residents and...;The Community Garden is Open to All Residents;B
The annual Fall Festival is just around the corner! Join...;Fall Festival is just around the corner!;A
Calling all gardeners! Our community garden is looking for new...;GARDENERS WELCOME!;B
The annual town-wide garage sale is happening this Saturday from...;The Annual Town-Wide Garage Sale;A
The local library is hosting a book club for adults,...;The local library is hosting a book club for adults,...;A
"The local animal shelter is hosting a ""Clear the Shelters""...";"""Clear the Shelters"" Event This Saturday";B
Reminder: The library will be closed this Sunday for a...;The Library Will Be Closed This Sunday;B
The community garden is looking for new members to help...;"Join us every Saturday morning at 9:00 AM; all skill...";A
A bicycle was left locked near the coffee shop on...;When the Saints Go Marching In;A
Community Alert: The annual charity walk/run is happening this Saturday...;Charity Walk/Run This Saturday;A
The town's annual holiday market is coming up on December...;The town's annual holiday market is coming up on December...;B
The local farmer's market is hosting a holiday bake sale...;Holiday Bake Sale to Support Local Farmers;B
The annual charity bake sale is just around the corner!...;The Annual Charity Bake Sale;A
Join us for a free outdoor concert in the park...;Join us for a free outdoor concert in the park...;A
The community garden is now open! Come visit and explore...;The Community Garden Is Now Open!;B
Attention all bookworms: Our library's summer reading program starts next...;Summer Reading Program Starts Next Week!;A
The annual fireworks display is just a few days away!...;The annual fireworks display is just a few days away!;A
Wanted: A reliable and trustworthy babysitter for a family of...;Wanted: Reliable and Trustworthy Babysitter;A
Lost: A set of keys with a keychain featuring a...;Lost: A set of keys with a keychain featuring a...;B
Local Library News: The library is hosting a free author...;The library is hosting a free author reading series;B
Community Clean-Up Event: Help keep our neighborhood beautiful by joining...;Community Clean-Up Event: Help keep our neighborhood beautiful;A
New Business Alert: A new coffee shop is opening downtown,...;New Coffee Shop Opening Downtown;B
Artistic Opportunity: The local art museum is seeking submissions from...;Artistic Opportunity: The local art museum is seeking submissions from...;B
Pet Palooza: Join us at the park this Sunday for...;Pet Palooza: Join us at the park this Sunday for...;A
The community's annual Earth Day celebration is next weekend at...;Join us for Earth Day celebration at the park;A
Local Artists Wanted: The annual Art Walk is coming up!...;Local Artists Wanted;A
Lost and Found: A set of keys was found on...;A Set of Keys Was Found on Main Street;A
Book Club! Join us for our next meeting on Thursday,...;Join Us for Book Club Meeting - Discussing 'The Hitchhiker's...;B
Found: A black leather wallet near the coffee shop on...;Found: A black leather wallet near the coffee shop on...;B
The local library is hosting an author reading series, featuring...;Author Reading Series Next Thursday at 7 PM;A
"The neighborhood is organizing a charity event, ""Walk for Wellness,""...";Join us for Walk for Wellness on October 15th at...;A
Garage Sale: A large garage sale will be held at...;Garage Sale: A large garage sale will be held at...;B
Summer Concert Series: Join us at the park this Friday...;Join us at the park this Friday evening for a...;B
Yoga in the Park: Start your day with some yoga...;Yoga in the Park;A
Volunteer Opportunity: Help our local animal shelter care for furry...;Volunteer Opportunity: Help our local animal shelter care for furry...;B
Art Class for Kids: Let your little ones unleash their...;Art Class for Kids;A
Movie Night: Join us under the stars on Friday evening...;Movie Night: Join us under the stars;A
Book Club: Join us for our next book club meeting...;The Great Gatsby;B
The annual neighborhood potluck dinner is coming up! Join us...;The Annual Neighborhood Potluck Dinner;A
Attention all artists! The annual art show is coming up...;Attention All Artists!;B
Wanted: Reliable babysitter for occasional evening care of two children...;Wanted: Reliable babysitter for occasional evening care of two children;B
Anyone know of a good handyman service in the area?...;Anyone know of a good handyman service in the area?;B
Looking for recommendations on local yoga studios or instructors. A...;Looking for local yoga studios or instructors;B
Does anyone know of a reliable dog walker in the...;Does Anyone Know of a Reliable Dog Walker in the...;B
Urgently needed: Donations for the community animal shelter's upcoming fundraiser...;Urgently Needed: Donations for the Community Animal Shelter;B
Volunteers needed for the local park clean-up initiative this Saturday...;This Saturday from 9 AM to 12 PM.;B
The local library is hosting a free book exchange event...;Free Book Exchange Event Next Month;B
Calling all gardeners! The community garden is hosting a workshop...;CREATE A SUSTAINABLE GARDEN IN YOUR BACKYARD;A
The local library is hosting a free author reading and...;Meet the bestselling author of your favorite novel, ask questions,...;A
Local artist seeking models for a life drawing class! If...;Local Artist Seeking Models;A
Pet Adoption Event: Join us at the town hall on...;Pet Adoption Event: Join us at the town hall on...;A
Community Event Alert: The annual SummerFest celebration is just around...;The annual SummerFest celebration is just around the corner!;A
Attention all book lovers! The local library is hosting a...;Used Bookstore Sale This Saturday;A
The local library will be hosting a free author reading...;Next Saturday at 2 PM - Free Author Reading Event;B
Neighborhood Watch Meeting: Join us this Wednesday at 7 PM...;Join Us This Wednesday at 7 PM;A
Book Club: Join us at the library this Wednesday evening...;"Join Us at the Library to Discuss ""The Nightingale""";B
It's time to get creative! Join us for a free...;Join us for a free painting class this Friday at...;A
Lost: A set of noise-cancelling headphones with a purple case...;Lost: A set of noise-cancelling headphones with a purple case...;A
The annual Easter egg hunt is happening at City Hall...;The annual Easter egg hunt is happening at City Hall...;B
Attention all pet owners: The local animal shelter is hosting...;Attention all pet owners;B
Need a hand with some heavy lifting this Saturday from...;Need A Hand With Some Heavy Lifting This Saturday;A
Calling all book lovers! The local library is hosting a...;Used Bookstore Sale This Saturday;A
Calling all bookworms! The library is hosting a summer reading...;Summer Reading Program for All;A
Reminder: Don't forget to register your pet with the city's...;Don't Forget to Register Your Pet;A
Attention shoppers! Our local farmers' market will be open every...;Attention Shoppers!;B
Notice of event: The annual SummerFest celebration is happening on...;The annual SummerFest celebration;B
Reminder: Please keep an eye out for your neighbors' properties...;Please Keep an Eye Out for Your Neighbors' Properties during...;B
The local community garden is hosting a free workshop on...;Learn How to Turn Food Scraps into Nutrient-Rich Soil;A
Attention all book lovers! The local library is hosting a...;Attention All Book Lovers;B
Wanted: a reliable, used bike for sale. Must have sturdy...;Wanted: Reliable Used Bike for Sale;B
The annual summer festival is just around the corner! We're...;The annual summer festival is just around the corner!;A
Join us at the local library next Wednesday evening for...;Join Us at the Local Library for a Free Book...;A
Job Opportunity: The local library is seeking a part-time librarian...;Job Opportunity: The local library is seeking a part-time librarian...;A
Attention all book lovers! The local library is hosting an...;Author Reading and Q&A Session;B
The local farmer's market is looking for volunteers to help...;The local farmer's market is looking for volunteers;A
For sale: gently used bicycle with comfortable seat and sturdy...;Gently Used Bicycle for Sale;B
Urgent: Community Clean-Up Day this Saturday! Join us at the...;Urgent: Community Clean-Up Day this Saturday!;A
Calling all musicians! The town's annual Music Festival is just...;Calling all musicians!;A
Wanted: Reliable dog walker for regular afternoon walks with my...;Reliable Dog Walker Wanted for Afternoon Walks;A
Garage Sale Alert: The Smith family is having a massive...;Garage Sale Alert;B
A small dog was found wandering around the corner of...;A Small Dog Was Found Wandering Around The Corner Of...;B
Calling all bookworms! Our library is hosting a used bookstore...;Used Bookstore Sale This Weekend;A
Calling all gardeners! The community center is looking for volunteers...;Calling all gardeners! The community center is looking for volunteers...;A
Book Club: We're starting a new book club at the...;Pride and Prejudice;B
Community event: Join us at City Hall on Saturday, March...;Join us at City Hall for a free concert and...;A
"The local animal shelter is hosting a ""Clear the Shelters""...";"""Clear the Shelters Event This Saturday""";B
The community garden is looking for volunteers to help with...;Get Your Hands Dirty - Join Our Community Garden!;B
Attention all pet owners! The local animal shelter is hosting...;Low-Cost Vaccination Clinic for Pet Owners;B
Book Club: Join us this month for a discussion on...;"Join us for a discussion on ""The Nightingale""";A
Calling all book lovers! The local library is hosting a...;Used Bookstore Sale This Saturday;B
Local Artist's Showcase: Join us at the art gallery this...;Join us at the art gallery this Saturday for an...;B
The local theater group is performing a production of 'The...;The Sound of Music this weekend at the community center.;A
The neighborhood garden club will be hosting a plant swap...;Next Saturday Plant Swap;B
Calling all volunteers! Our local animal shelter is looking for...;Calling All Volunteers!;B
The community center will be hosting a free tax preparation...;FREE Tax Preparation Service Next Saturday;A
Join our local photography club for an evening walk around...;Join our local photography club for an evening walk around...;A
Wanted: A reliable and trustworthy dog walker to take care...;Wanted: Reliable Dog Walker for Furry Friend;A
Neighborhood Watch: Let's work together to keep our community safe!...;Neighborhood Watch;B
Local Art Show: Calling all artists and art enthusiasts! Our...;Local Art Show;B
Volunteer Opportunity: Help make our community garden grow by volunteering...;Volunteer Opportunity: Help make our community garden grow;B
Community Clean-Up Day: Join us on the first Sunday of...;Community Clean-Up Day;A
Free Yoga Class: Get fit and relax with free yoga...;Get fit and relax with free yoga classes;A
Attention all residents: The annual town clean-up event is scheduled...;Attention All Residents: The Annual Town Clean-Up Event;B
Local artists, rejoice! The annual art show is coming up...;Local Artists Rejoice!;A
Missing: Red squirrel named 'Rusty'. Last seen near Willow Creek...;Missing: Red Squirrel Named 'Rusty';A
Attention all gardeners! I'm offering a free consultation to help...;I'm Offering a Free Consultation to Help You Design and...;A
The annual summer concert series at Oakwood Park is back!...;The annual summer concert series at Oakwood Park is back!;A
"Book Club: Join us for our monthly discussion of ""The...";Bring a Friend and Enjoy Lively Debate Over Refreshments;A
Important notice for all pet owners! The local animal shelter...;Important notice for all pet owners!;A
Attention all book lovers! The local library is hosting a...;Used Bookstore Sale This Weekend;B
For Sale: Gently used exercise equipment (treadmill, elliptical, and weights)...;Gently Used Exercise Equipment for Sale - $200 OBO;A
The local animal shelter is hosting a pet adoption fair...;The Local Animal Shelter is Hosting a Pet Adoption Fair...;B
Attention all book lovers! The local library is hosting a...;Attention All Book Lovers!;B
Attention all book lovers! The local library is hosting a...;Attention all book lovers!;B
Language Exchange: Want to improve your language skills? Join our...;Want to improve your language skills?;A
For Sale: Gently used yoga mat, perfect for those who...;For Sale: Gently used yoga mat, perfect for downward-facing dog.;A
Volunteer Opportunity: Help us clean up local parks this Saturday!...;Help us clean up local parks this Saturday!;A
Art Class: Join our beginner-friendly art class every Wednesday evening...;Art Class;B
Garage Sale: Come find some great deals on gently used...;This Saturday at 8 am sharp;B
Book Club: Join us for a discussion of our latest...;"""The Great Gatsby""";A
To all my fellow book lovers out there, I'm hosting...;To all my fellow book lovers out there, I'm hosting...;A
Wanted: A reliable babysitter for occasional evening gigs. Must be...;Wanted: Reliable Babysitter for Occasional Evening Gigs;B
The annual SummerFest celebration is coming up! Enjoy live music,...;Enjoy Live Music, Food Trucks, and Fireworks Display;A
Attention all bookworms: Our local library is hosting an author...;Attention All Bookworms;B
Get ready to rumble at the annual Charity Wrestling Tournament!...;Get Ready to Rumble;B
Calling all gardeners! The town's Master Gardener program is offering...;Free Workshop on Organic Gardening Techniques;A
Don't miss out on the holiday market, happening December 1st...;Don't miss out on the holiday market!;B
Lost and Found: A set of keys was left at...;A set of keys was left at the coffee shop...;A
Attention all gardeners: The community gardening club will be meeting...;Gardeners, Share Tips On Plants;B
The local library is hosting a book drive to collect...;Foster a Love of Reading;B
Free Event: Join us at the town square for a...;Join us at the town square for a free outdoor...;A
Reminder: The community pool will be closed for maintenance from...;The community pool will be closed for maintenance from Monday...;A
Join us this Saturday at the town square for a...;Join us this Saturday at the town square for a...;B
"Our local animal shelter is hosting a ""Paws & Relax""...";Meet Adoptable Pets;A
The community center's art studio is offering a free painting...;FREE Painting Class for Beginners this Thursday at 6 PM;B
Don't miss the annual town-wide yard sale next Saturday from...;Don't Miss The Annual Town-Wide Yard Sale Next Saturday;A
"The local animal shelter is hosting a ""Clear the Shelters""...";"""Clear the Shelters"" Event This Saturday";B
Wanted: A reliable and trustworthy babysitter for occasional evening shifts....;Wanted: Reliable and Trustworthy Babysitter;B
The local library is hosting a book drive to collect...;Gently Used Books Needed for Annual Literacy Event;A
The library is hosting a free book club meeting next...;The library is hosting a free book club meeting next...;A
A community clean-up event will take place on Saturday at...;A Community Clean-up Event;B
The city is offering a free workshop on home energy...;The City Offers Free Workshop on Home Energy Efficiency;A
